category,sample_id,split,defect_label,is_anomalous,rgb_path,ir_path,pointcloud_path,rgb_gt_path,ir_gt_path,pointcloud_gt_path,rgb_gt_csv_path,rgb_gt_available,ir_gt_available,pointcloud_gt_available,rgb_declared_in_metadata,infrared_declared_in_metadata,pointcloud_declared_in_metadata
capsule,0,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/0.png,data/raw/MulSen_AD/capsule/Infrared/train/0.png,data/raw/MulSen_AD/capsule/Pointcloud/train/0.stl,,,,,False,False,False,,,
capsule,1,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/1.png,data/raw/MulSen_AD/capsule/Infrared/train/1.png,data/raw/MulSen_AD/capsule/Pointcloud/train/1.stl,,,,,False,False,False,,,
capsule,10,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/10.png,data/raw/MulSen_AD/capsule/Infrared/train/10.png,data/raw/MulSen_AD/capsule/Pointcloud/train/10.stl,,,,,False,False,False,,,
capsule,11,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/11.png,data/raw/MulSen_AD/capsule/Infrared/train/11.png,data/raw/MulSen_AD/capsule/Pointcloud/train/11.stl,,,,,False,False,False,,,
capsule,12,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/12.png,data/raw/MulSen_AD/capsule/Infrared/train/12.png,data/raw/MulSen_AD/capsule/Pointcloud/train/12.stl,,,,,False,False,False,,,
capsule,13,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/13.png,data/raw/MulSen_AD/capsule/Infrared/train/13.png,data/raw/MulSen_AD/capsule/Pointcloud/train/13.stl,,,,,False,False,False,,,
capsule,14,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/14.png,data/raw/MulSen_AD/capsule/Infrared/train/14.png,data/raw/MulSen_AD/capsule/Pointcloud/train/14.stl,,,,,False,False,False,,,
capsule,15,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/15.png,data/raw/MulSen_AD/capsule/Infrared/train/15.png,data/raw/MulSen_AD/capsule/Pointcloud/train/15.stl,,,,,False,False,False,,,
capsule,16,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/16.png,data/raw/MulSen_AD/capsule/Infrared/train/16.png,data/raw/MulSen_AD/capsule/Pointcloud/train/16.stl,,,,,False,False,False,,,
capsule,17,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/17.png,data/raw/MulSen_AD/capsule/Infrared/train/17.png,data/raw/MulSen_AD/capsule/Pointcloud/train/17.stl,,,,,False,False,False,,,
capsule,18,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/18.png,data/raw/MulSen_AD/capsule/Infrared/train/18.png,data/raw/MulSen_AD/capsule/Pointcloud/train/18.stl,,,,,False,False,False,,,
capsule,19,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/19.png,data/raw/MulSen_AD/capsule/Infrared/train/19.png,data/raw/MulSen_AD/capsule/Pointcloud/train/19.stl,,,,,False,False,False,,,
capsule,2,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/2.png,data/raw/MulSen_AD/capsule/Infrared/train/2.png,data/raw/MulSen_AD/capsule/Pointcloud/train/2.stl,,,,,False,False,False,,,
capsule,20,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/20.png,data/raw/MulSen_AD/capsule/Infrared/train/20.png,data/raw/MulSen_AD/capsule/Pointcloud/train/20.stl,,,,,False,False,False,,,
capsule,21,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/21.png,data/raw/MulSen_AD/capsule/Infrared/train/21.png,data/raw/MulSen_AD/capsule/Pointcloud/train/21.stl,,,,,False,False,False,,,
capsule,22,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/22.png,data/raw/MulSen_AD/capsule/Infrared/train/22.png,data/raw/MulSen_AD/capsule/Pointcloud/train/22.stl,,,,,False,False,False,,,
capsule,23,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/23.png,data/raw/MulSen_AD/capsule/Infrared/train/23.png,data/raw/MulSen_AD/capsule/Pointcloud/train/23.stl,,,,,False,False,False,,,
capsule,24,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/24.png,data/raw/MulSen_AD/capsule/Infrared/train/24.png,data/raw/MulSen_AD/capsule/Pointcloud/train/24.stl,,,,,False,False,False,,,
capsule,25,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/25.png,data/raw/MulSen_AD/capsule/Infrared/train/25.png,data/raw/MulSen_AD/capsule/Pointcloud/train/25.stl,,,,,False,False,False,,,
capsule,26,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/26.png,data/raw/MulSen_AD/capsule/Infrared/train/26.png,data/raw/MulSen_AD/capsule/Pointcloud/train/26.stl,,,,,False,False,False,,,
capsule,27,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/27.png,data/raw/MulSen_AD/capsule/Infrared/train/27.png,data/raw/MulSen_AD/capsule/Pointcloud/train/27.stl,,,,,False,False,False,,,
capsule,28,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/28.png,data/raw/MulSen_AD/capsule/Infrared/train/28.png,data/raw/MulSen_AD/capsule/Pointcloud/train/28.stl,,,,,False,False,False,,,
capsule,29,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/29.png,data/raw/MulSen_AD/capsule/Infrared/train/29.png,data/raw/MulSen_AD/capsule/Pointcloud/train/29.stl,,,,,False,False,False,,,
capsule,3,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/3.png,data/raw/MulSen_AD/capsule/Infrared/train/3.png,data/raw/MulSen_AD/capsule/Pointcloud/train/3.stl,,,,,False,False,False,,,
capsule,30,train,good,False,data/raw/MulSen_AD/capsule/RGB/train/30.png,data/raw/MulSen_AD/capsule/Infrared/train/30.png,data/raw/MulSen_AD/capsule/Pointcloud/train/30.stl,,,,,False,False,False,,,
