category,sample_id,split,defect_label,is_anomalous,rgb_path,ir_path,pointcloud_path,rgb_gt_path,ir_gt_path,pointcloud_gt_path,rgb_gt_csv_path,rgb_gt_available,ir_gt_available,pointcloud_gt_available,rgb_declared_in_metadata,infrared_declared_in_metadata,pointcloud_declared_in_metadata
cotton,0,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/0.png,data/raw/MulSen_AD/cotton/Infrared/train/0.png,data/raw/MulSen_AD/cotton/Pointcloud/train/0.stl,,,,,False,False,False,,,
cotton,1,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/1.png,data/raw/MulSen_AD/cotton/Infrared/train/1.png,data/raw/MulSen_AD/cotton/Pointcloud/train/1.stl,,,,,False,False,False,,,
cotton,10,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/10.png,data/raw/MulSen_AD/cotton/Infrared/train/10.png,data/raw/MulSen_AD/cotton/Pointcloud/train/10.stl,,,,,False,False,False,,,
cotton,11,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/11.png,data/raw/MulSen_AD/cotton/Infrared/train/11.png,data/raw/MulSen_AD/cotton/Pointcloud/train/11.stl,,,,,False,False,False,,,
cotton,12,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/12.png,data/raw/MulSen_AD/cotton/Infrared/train/12.png,data/raw/MulSen_AD/cotton/Pointcloud/train/12.stl,,,,,False,False,False,,,
cotton,13,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/13.png,data/raw/MulSen_AD/cotton/Infrared/train/13.png,data/raw/MulSen_AD/cotton/Pointcloud/train/13.stl,,,,,False,False,False,,,
cotton,14,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/14.png,data/raw/MulSen_AD/cotton/Infrared/train/14.png,data/raw/MulSen_AD/cotton/Pointcloud/train/14.stl,,,,,False,False,False,,,
cotton,15,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/15.png,data/raw/MulSen_AD/cotton/Infrared/train/15.png,data/raw/MulSen_AD/cotton/Pointcloud/train/15.stl,,,,,False,False,False,,,
cotton,16,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/16.png,data/raw/MulSen_AD/cotton/Infrared/train/16.png,data/raw/MulSen_AD/cotton/Pointcloud/train/16.stl,,,,,False,False,False,,,
cotton,17,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/17.png,data/raw/MulSen_AD/cotton/Infrared/train/17.png,data/raw/MulSen_AD/cotton/Pointcloud/train/17.stl,,,,,False,False,False,,,
cotton,18,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/18.png,data/raw/MulSen_AD/cotton/Infrared/train/18.png,data/raw/MulSen_AD/cotton/Pointcloud/train/18.stl,,,,,False,False,False,,,
cotton,19,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/19.png,data/raw/MulSen_AD/cotton/Infrared/train/19.png,data/raw/MulSen_AD/cotton/Pointcloud/train/19.stl,,,,,False,False,False,,,
cotton,2,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/2.png,data/raw/MulSen_AD/cotton/Infrared/train/2.png,data/raw/MulSen_AD/cotton/Pointcloud/train/2.stl,,,,,False,False,False,,,
cotton,20,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/20.png,data/raw/MulSen_AD/cotton/Infrared/train/20.png,data/raw/MulSen_AD/cotton/Pointcloud/train/20.stl,,,,,False,False,False,,,
cotton,21,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/21.png,data/raw/MulSen_AD/cotton/Infrared/train/21.png,data/raw/MulSen_AD/cotton/Pointcloud/train/21.stl,,,,,False,False,False,,,
cotton,22,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/22.png,data/raw/MulSen_AD/cotton/Infrared/train/22.png,data/raw/MulSen_AD/cotton/Pointcloud/train/22.stl,,,,,False,False,False,,,
cotton,23,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/23.png,data/raw/MulSen_AD/cotton/Infrared/train/23.png,data/raw/MulSen_AD/cotton/Pointcloud/train/23.stl,,,,,False,False,False,,,
cotton,24,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/24.png,data/raw/MulSen_AD/cotton/Infrared/train/24.png,data/raw/MulSen_AD/cotton/Pointcloud/train/24.stl,,,,,False,False,False,,,
cotton,25,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/25.png,data/raw/MulSen_AD/cotton/Infrared/train/25.png,data/raw/MulSen_AD/cotton/Pointcloud/train/25.stl,,,,,False,False,False,,,
cotton,26,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/26.png,data/raw/MulSen_AD/cotton/Infrared/train/26.png,data/raw/MulSen_AD/cotton/Pointcloud/train/26.stl,,,,,False,False,False,,,
cotton,27,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/27.png,data/raw/MulSen_AD/cotton/Infrared/train/27.png,data/raw/MulSen_AD/cotton/Pointcloud/train/27.stl,,,,,False,False,False,,,
cotton,28,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/28.png,data/raw/MulSen_AD/cotton/Infrared/train/28.png,data/raw/MulSen_AD/cotton/Pointcloud/train/28.stl,,,,,False,False,False,,,
cotton,29,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/29.png,data/raw/MulSen_AD/cotton/Infrared/train/29.png,data/raw/MulSen_AD/cotton/Pointcloud/train/29.stl,,,,,False,False,False,,,
cotton,3,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/3.png,data/raw/MulSen_AD/cotton/Infrared/train/3.png,data/raw/MulSen_AD/cotton/Pointcloud/train/3.stl,,,,,False,False,False,,,
cotton,30,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/30.png,data/raw/MulSen_AD/cotton/Infrared/train/30.png,data/raw/MulSen_AD/cotton/Pointcloud/train/30.stl,,,,,False,False,False,,,
cotton,31,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/31.png,data/raw/MulSen_AD/cotton/Infrared/train/31.png,data/raw/MulSen_AD/cotton/Pointcloud/train/31.stl,,,,,False,False,False,,,
cotton,32,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/32.png,data/raw/MulSen_AD/cotton/Infrared/train/32.png,data/raw/MulSen_AD/cotton/Pointcloud/train/32.stl,,,,,False,False,False,,,
cotton,33,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/33.png,data/raw/MulSen_AD/cotton/Infrared/train/33.png,data/raw/MulSen_AD/cotton/Pointcloud/train/33.stl,,,,,False,False,False,,,
cotton,34,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/34.png,data/raw/MulSen_AD/cotton/Infrared/train/34.png,data/raw/MulSen_AD/cotton/Pointcloud/train/34.stl,,,,,False,False,False,,,
cotton,35,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/35.png,data/raw/MulSen_AD/cotton/Infrared/train/35.png,data/raw/MulSen_AD/cotton/Pointcloud/train/35.stl,,,,,False,False,False,,,
cotton,36,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/36.png,data/raw/MulSen_AD/cotton/Infrared/train/36.png,data/raw/MulSen_AD/cotton/Pointcloud/train/36.stl,,,,,False,False,False,,,
cotton,37,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/37.png,data/raw/MulSen_AD/cotton/Infrared/train/37.png,data/raw/MulSen_AD/cotton/Pointcloud/train/37.stl,,,,,False,False,False,,,
cotton,38,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/38.png,data/raw/MulSen_AD/cotton/Infrared/train/38.png,data/raw/MulSen_AD/cotton/Pointcloud/train/38.stl,,,,,False,False,False,,,
cotton,39,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/39.png,data/raw/MulSen_AD/cotton/Infrared/train/39.png,data/raw/MulSen_AD/cotton/Pointcloud/train/39.stl,,,,,False,False,False,,,
cotton,4,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/4.png,data/raw/MulSen_AD/cotton/Infrared/train/4.png,data/raw/MulSen_AD/cotton/Pointcloud/train/4.stl,,,,,False,False,False,,,
cotton,40,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/40.png,data/raw/MulSen_AD/cotton/Infrared/train/40.png,data/raw/MulSen_AD/cotton/Pointcloud/train/40.stl,,,,,False,False,False,,,
cotton,41,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/41.png,data/raw/MulSen_AD/cotton/Infrared/train/41.png,data/raw/MulSen_AD/cotton/Pointcloud/train/41.stl,,,,,False,False,False,,,
cotton,42,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/42.png,data/raw/MulSen_AD/cotton/Infrared/train/42.png,data/raw/MulSen_AD/cotton/Pointcloud/train/42.stl,,,,,False,False,False,,,
cotton,43,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/43.png,data/raw/MulSen_AD/cotton/Infrared/train/43.png,data/raw/MulSen_AD/cotton/Pointcloud/train/43.stl,,,,,False,False,False,,,
cotton,44,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/44.png,data/raw/MulSen_AD/cotton/Infrared/train/44.png,data/raw/MulSen_AD/cotton/Pointcloud/train/44.stl,,,,,False,False,False,,,
cotton,45,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/45.png,data/raw/MulSen_AD/cotton/Infrared/train/45.png,data/raw/MulSen_AD/cotton/Pointcloud/train/45.stl,,,,,False,False,False,,,
cotton,46,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/46.png,data/raw/MulSen_AD/cotton/Infrared/train/46.png,data/raw/MulSen_AD/cotton/Pointcloud/train/46.stl,,,,,False,False,False,,,
cotton,47,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/47.png,data/raw/MulSen_AD/cotton/Infrared/train/47.png,data/raw/MulSen_AD/cotton/Pointcloud/train/47.stl,,,,,False,False,False,,,
cotton,48,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/48.png,data/raw/MulSen_AD/cotton/Infrared/train/48.png,data/raw/MulSen_AD/cotton/Pointcloud/train/48.stl,,,,,False,False,False,,,
cotton,49,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/49.png,data/raw/MulSen_AD/cotton/Infrared/train/49.png,data/raw/MulSen_AD/cotton/Pointcloud/train/49.stl,,,,,False,False,False,,,
cotton,5,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/5.png,data/raw/MulSen_AD/cotton/Infrared/train/5.png,data/raw/MulSen_AD/cotton/Pointcloud/train/5.stl,,,,,False,False,False,,,
cotton,50,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/50.png,data/raw/MulSen_AD/cotton/Infrared/train/50.png,data/raw/MulSen_AD/cotton/Pointcloud/train/50.stl,,,,,False,False,False,,,
cotton,51,train,good,False,data/raw/MulSen_AD/cotton/RGB/train/51.png,data/raw/MulSen_AD/cotton/Infrared/train/51.png,data/raw/MulSen_AD/cotton/Pointcloud/train/51.stl,,,,,False,False,False,,,
