category,sample_id,split,defect_label,is_anomalous,rgb_path,ir_path,pointcloud_path,rgb_gt_path,ir_gt_path,pointcloud_gt_path,rgb_gt_csv_path,rgb_gt_available,ir_gt_available,pointcloud_gt_available,rgb_declared_in_metadata,infrared_declared_in_metadata,pointcloud_declared_in_metadata
light,0,train,good,False,data/raw/MulSen_AD/light/RGB/train/0.png,data/raw/MulSen_AD/light/Infrared/train/0.png,data/raw/MulSen_AD/light/Pointcloud/train/0.stl,,,,,False,False,False,,,
light,1,train,good,False,data/raw/MulSen_AD/light/RGB/train/1.png,data/raw/MulSen_AD/light/Infrared/train/1.png,data/raw/MulSen_AD/light/Pointcloud/train/1.stl,,,,,False,False,False,,,
light,10,train,good,False,data/raw/MulSen_AD/light/RGB/train/10.png,data/raw/MulSen_AD/light/Infrared/train/10.png,data/raw/MulSen_AD/light/Pointcloud/train/10.stl,,,,,False,False,False,,,
light,100,train,good,False,data/raw/MulSen_AD/light/RGB/train/100.png,data/raw/MulSen_AD/light/Infrared/train/100.png,data/raw/MulSen_AD/light/Pointcloud/train/100.stl,,,,,False,False,False,,,
light,101,train,good,False,data/raw/MulSen_AD/light/RGB/train/101.png,data/raw/MulSen_AD/light/Infrared/train/101.png,data/raw/MulSen_AD/light/Pointcloud/train/101.stl,,,,,False,False,False,,,
light,102,train,good,False,data/raw/MulSen_AD/light/RGB/train/102.png,data/raw/MulSen_AD/light/Infrared/train/102.png,data/raw/MulSen_AD/light/Pointcloud/train/102.stl,,,,,False,False,False,,,
light,103,train,good,False,data/raw/MulSen_AD/light/RGB/train/103.png,data/raw/MulSen_AD/light/Infrared/train/103.png,data/raw/MulSen_AD/light/Pointcloud/train/103.stl,,,,,False,False,False,,,
light,104,train,good,False,data/raw/MulSen_AD/light/RGB/train/104.png,data/raw/MulSen_AD/light/Infrared/train/104.png,data/raw/MulSen_AD/light/Pointcloud/train/104.stl,,,,,False,False,False,,,
light,105,train,good,False,data/raw/MulSen_AD/light/RGB/train/105.png,data/raw/MulSen_AD/light/Infrared/train/105.png,data/raw/MulSen_AD/light/Pointcloud/train/105.stl,,,,,False,False,False,,,
light,106,train,good,False,data/raw/MulSen_AD/light/RGB/train/106.png,data/raw/MulSen_AD/light/Infrared/train/106.png,data/raw/MulSen_AD/light/Pointcloud/train/106.stl,,,,,False,False,False,,,
